time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_c,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,Q
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.231341966090307,28.311081041273756,2.509573251854329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.4227425719591
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.573108346507206,28.666056957504864,2.4519446745303815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0966111904585
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.913610768171301,26.173610443947293,2.4705031053788566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.84800781927058
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.589954323817773,27.113126044072843,2.457279977257722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.55314027688115
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.903083050232027,26.06109390043185,2.3851792849854014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.7953527011306
1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.211476084448849,27.82390372687421,2.7524835494724194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.68959519272025
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.343991558544653,28.914523757626117,2.761233300205706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.27045833487375
1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.817700890527798,27.327188029225688,2.4981768151980988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.02190602835776
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.011537601377627,26.238577226433748,2.547128526611513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.7110892152268
2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.85699799437671,28.893517662019534,2.7492911211223348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.86128950213904
2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.205236628054832,28.261300641997405,2.7329514184178154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.02858511283824
