time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_c,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,Q
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.184206775791441,20.112583754860104,2.846526308417529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.05840855411594
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.181598029324737,20.122469140152987,2.8440510712560076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.11147293206632
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.179102058083014,20.13233299163232,2.8416069457555215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.16478604494704
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.176719058389216,20.142177023902978,2.8391941954961135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.21833762320078
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.174449204700965,20.15200294630381,2.836813077458857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.27211737919684
1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1722926496479,20.161812462156714,2.8344638419795123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.32611500940072
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.170249524073082,20.171607268017723,2.8321467327037024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.38032019654143
1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.168319937078403,20.18138905293057,2.829861986543606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.43472261177583
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.166503976074006,20.191159497682722,2.82760983363619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.48931191684984
2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.164801706831705,20.200920274064277,2.8253904973029766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.54407776625567
2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.16321317354236,20.210673044129774,2.823204194011365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.59900980938474
2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1617383988772,20.22041945946328,2.821051133337511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.65409769267593
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.160377384053083,20.23016116044683,2.818931517930779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.70933106175856
3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.159130108901662,20.239899775532542,2.816845543479758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.76469956358945
3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.157996531942414,20.249636920518512,2.8147933986798725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.82019284858401
3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.156976590459557,20.259374197828794,2.8127752652025766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.8758005727405
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.156070200582784,20.269113195797605,2.8107913176661445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.93151239975721
4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.155277257371818,20.27885548795797,2.808841723608065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.98731800314192
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.154597634904746,20.288602632335053,2.8069266434590476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.04320706831346
4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.154031186370124,20.298356170744327,2.8050462305186348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0991692946945
