time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_c,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,Q
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.383420900026158,18.91374007903376,2.9577189420371113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.93772261398932
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.801090782353542,19.395144293514754,2.678047726918899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.13418761854628
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.726032478816025,20.876988664646646,2.8134900115475103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.76340701061511
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.35962210788748,20.08494119248842,2.8636202116841254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.06307181103409
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.211414041999252,19.329466150919423,2.9318442179862476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.4576686847606
1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0462565827804,20.967140094108522,2.6902794574531144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.08821307110811
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.483979757709658,21.29270679373242,2.6618998797777316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.77808831683375
1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.903258533793997,20.98501933368029,2.8532236069092427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.29231856922665
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.004191276955268,21.090572412858293,2.6933143515091627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.09653684625152
2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34970384379938,20.820766430499035,2.7309861724453204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.8989849269887
2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.477615394044173,20.202649364228737,2.9070928120774906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.29514744038127
2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.47194304682585,18.94942313079375,2.6416683154825313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.22043040815706
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.372943744410216,20.305959631090403,2.8544511668423924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.16783341998187
3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.20631666673302,21.185435815306143,2.9385350523762077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.4108711060598
3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.866424330823703,18.79037726595426,2.833423828730379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.42384467593631
3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.636563125260144,20.01162701193931,2.971889439516918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.98114749246066
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.413659487075412,18.748308123794004,2.609474233118997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.8094600591941
4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.616608001149746,21.557868632221446,2.6976440377574455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.28554069542757
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.461403187734705,19.12523008930663,2.7390942623299797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.46466671705308
4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.909595698044392,18.968065593124564,2.7230467562975846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.9583415087646
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.865184963092931,19.63654410519232,2.7905951406915306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.92995856196335
5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.702923756806483,21.900021289696912,2.990067768969457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.50746796275729
5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.942129611597585,20.748614368966308,2.6264262494225767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.2050959761409
5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.85155517986058,19.68283226203663,2.9683322480030156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.12510260049669
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.730506888378923,20.464357226313858,2.670380661609011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.30660501834875
6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.925143656312718,20.382709399361588,2.970092009112889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.67418015591463
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.143103629930808,20.607034089069195,2.7287732397971176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.37848357263766
6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.359561471981198,21.998967120712333,2.66524138875914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.41917231016737
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.440972508109114,20.672641288903492,2.6699006933285094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.58861438898761
7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.685967718385765,19.135773169316668,2.7480679463159388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.01339489728765
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.03892670427533,21.86221097003995,2.9073826746423337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.50947142808275
7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.102533176659147,19.884110335792144,2.8268585153389436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.37295792863577
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.901578159592258,21.38485112900693,2.8090817132699235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.92274372850389
8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.197784174234174,20.82693052489838,2.7647324659114263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.41328581044678
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.087960755427074,21.260371396967052,2.7226207761225134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.1274218189495
