time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_c,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,Q
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.009575012172933,18.836441620665536,2.7803059816016766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.92288106516244
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.45942544638872,19.9121955319044,2.949238541224707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.67253686792691
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.082709427480292,19.67837478198706,3.058924753641389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.60368948928839
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.280692906941574,18.840481283901074,2.9041248679217233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.71689953175486
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.872059365713481,21.41587538972723,2.8372417284258367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.50132303144078
1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52063371475949,19.01028042043798,2.8984107763918123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.766861707937
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.366496691571903,19.588158238473184,3.0313171769903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.83376045455755
1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.52330949699565,20.836735298796313,2.7349122512643933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.4408075937336
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.258712305831999,20.7568027015175,3.023136430403056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.20563812972689
2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.680038820217094,18.789175018530646,2.8938130088896825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.08950149446666
2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992661839795858,18.67043320808764,2.91845987683035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.15364535635594
2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.401874374288338,21.528789520007333,2.9952692408301536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.29991282380439
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.622271593248339,20.11021946737781,2.911880644583355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.05899208098667
