time,D,S1,S2,Z,C,pH
0.0,0.09121701249488837,35.92427099416086,0.0,1.0753627939035644e-05,0.0,7.4
0.25,0.08343487355058005,36.1702966338495,0.0,1.0539523483599366e-05,0.0,7.4
0.5,0.08707772257796267,35.06297671378069,0.0,9.871952643917216e-06,0.0,7.4
0.75,0.0847257187410056,37.160411325835646,0.0,1.0009377826412967e-05,0.0,7.4
1.0,0.0897258966787083,37.94616513861248,0.0,9.641023137977421e-06,0.0,7.4
1.25,0.09258377510509982,38.716384680757365,0.0,1.0807363984188769e-05,0.0,7.4
1.5,0.08570091044420682,37.66096789382328,0.0,9.832877401578202e-06,0.0,7.4
1.75,0.08211150505785843,38.635587717829004,0.0,9.36844483949167e-06,0.0,7.4
2.0,0.0949481571489051,34.31037039391865,0.0,9.822882647889289e-06,0.0,7.4
2.25,0.09374148152508063,36.201953008540386,0.0,9.851334280031084e-06,0.0,7.4
2.5,0.08698438053443312,36.5143914697138,0.0,1.0050329374792537e-05,0.0,7.4
2.75,0.08414549695314733,35.121111160302384,0.0,1.014056025576378e-05,0.0,7.4
3.0,0.08390703902345824,35.60502352069617,0.0,1.0524108217511613e-05,0.0,7.4
3.25,0.08352353247893854,36.77232981777522,0.0,1.0457681642687194e-05,0.0,7.4
3.5,0.08773588931853628,33.253079516136346,0.0,9.498619714318684e-06,0.0,7.4
3.75,0.0844434014463219,36.32469020554323,0.0,1.008460073491057e-05,0.0,7.4
4.0,0.09551713874576317,37.49944726744403,0.0,1.062622975502474e-05,0.0,7.4
4.25,0.08748352151589449,34.3094722154933,0.0,9.25067181610796e-06,0.0,7.4
4.5,0.0886207364403762,35.21551024381407,0.0,1.0293604303853122e-05,0.0,7.4
4.75,0.08371463125954115,33.48254660399864,0.0,1.024605669493936e-05,0.0,7.4
5.0,0.09586410300580571,34.392483933455146,0.0,9.241515833754597e-06,0.0,7.4
5.25,0.08316557905507285,36.00572901917608,0.0,1.0437239364081985e-05,0.0,7.4
5.5,0.08368414853850886,32.93183994301468,0.0,9.837580610803557e-06,0.0,7.4
5.75,0.08787075540017644,36.656631346919774,0.0,9.597206340409916e-06,0.0,7.4
6.0,0.08358638965432735,36.527140367657005,0.0,9.941909903170418e-06,0.0,7.4
6.25,0.09126746993411734,36.697391467789735,0.0,9.551276658503568e-06,0.0,7.4
6.5,0.09478595645112654,33.143449180281806,0.0,9.760776726714742e-06,0.0,7.4
6.75,0.08311067063317895,32.2299346303914,0.0,9.529163299061527e-06,0.0,7.4
7.0,0.09227779397983274,34.51703373289564,0.0,1.0793109900986372e-05,0.0,7.4
7.25,0.08573803043331578,33.7714796916233,0.0,9.90459062997903e-06,0.0,7.4
7.5,0.08314058790404177,32.229091027817404,0.0,9.855051527650666e-06,0.0,7.4
7.75,0.09390229597620181,36.58184733435084,0.0,9.952877019353168e-06,0.0,7.4
8.0,0.09366523854626786,32.77683672015585,0.0,1.0726026154193047e-05,0.0,7.4
8.25,0.08916296179681601,32.34264647329207,0.0,1.068126799493474e-05,0.0,7.4
8.5,0.08553574690538619,31.728166666056445,0.0,1.0041409027952883e-05,0.0,7.4
8.75,0.09095916592131668,31.365574402258176,0.0,1.0060918402750363e-05,0.0,7.4
9.0,0.0840943910920412,31.20870321343876,0.0,1.0290552272180175e-05,0.0,7.4
9.25,0.08476557150683535,31.778847097451727,0.0,9.99073652733485e-06,0.0,7.4
9.5,0.09618513676192396,32.04214782076283,0.0,1.008423844897199e-05,0.0,7.4
9.75,0.08483075298987404,32.2200295808899,0.0,9.443085831843946e-06,0.0,7.4
10.0,0.09007748761112537,35.59658076868139,0.0,1.0563575975333372e-05,0.0,7.4
10.25,0.09253004979848531,30.775288256842675,0.0,1.046830745683483e-05,0.0,7.4
10.5,0.09127438714200858,31.163828614391907,0.0,9.287255530010425e-06,0.0,7.4
10.75,0.08363609823412164,30.322026903674,0.0,1.0031065593564467e-05,0.0,7.4
11.0,0.0898972563166871,31.868523651462706,0.0,1.0109714871547676e-05,0.0,7.4
11.25,0.09470504415978176,32.03309331446765,0.0,9.999778669817107e-06,0.0,7.4
