,mu1max,mu2max,KS1,KS2,KI2
0,1.0458732784,0.8786693258,6.7020333505,10.0221190375,258.5075979698
1,0.8558050813,1.1903363915,6.048900409,11.9984252464,258.3250167067
2,0.8717726955,0.737753057,6.1403892703,8.896831632,251.8103747733
3,0.9876805573,0.7249677288,6.6192173836,8.9057726984,265.6089850947
4,0.9362142591,0.9152299314000001,6.3365062428,10.3302071128,261.087150487
5,0.8525511702,0.9502106975000001,6.0371421127,10.5861307198,264.7230286207
6,0.8668692536,1.0384178944,6.0855442106,11.1259421635,253.4820270392
7,0.8251915032,0.7986019080000001,5.8863460644,9.4077823055,266.2879218226
8,0.9119923656000001,1.180660379,6.2477785164,11.8288007214,257.5439697481
9,0.9091995805,0.9762725811,6.2485513259,10.7859124662,258.3848603687
10,0.8443981742000001,0.9477506727,5.9502560281,10.5123258192,244.307691918
11,0.7919322614000001,0.9172359119,5.7288321988,10.2643614571,269.4397772404
12,0.8273062760000001,0.7211847661,5.9359293056,8.8305385068,247.7742360332
13,0.8851111718,1.0680383639,6.0758457724,11.0883901791,244.1078573541
14,0.8055896734,0.7794049736,5.7863515415,9.253754582300001,254.1795292587
15,0.8239391837000001,0.7843960379,5.8807651778,9.3124358883,260.4971284678
16,0.7964430126,0.7910999439,5.779707634,9.2738504588,273.5747894839
17,0.9027254768,1.0970011643,6.2755696551,11.3677134831,259.1946106422
18,0.8518014337,0.8069065597,6.0657546656,9.4915507148,261.6351684453
19,0.7965461621000001,0.7813952203000001,5.8114856724,9.2861414592,267.3763087921
20,0.8553591934,0.8079752938,5.9885114365,9.4845125229,253.5898718585
21,0.9663260445,1.1155055108,6.5106383928,11.5218062097,262.2957830319
22,0.8196003633000001,0.7102483386,5.8533945276,8.7709072858,253.8051277472
23,0.8602410250000001,0.9634343363000001,5.9770916551,10.5598058626,258.8207236919
24,0.8371917863,0.7418383279,5.9198393584,8.9061520052,271.7226816538
25,0.8322877461,0.8062987621000001,5.8984013925,9.4302221495,262.2776723185
26,0.9019257098000001,0.8704249867,6.2062083977,9.8638205559,254.5461060946
27,0.9066786971,1.2399305711,6.2676056246,12.1538057949,257.9604717846
28,0.9081862636,1.0105646279,6.2837664322,10.8167386917,269.8573564057
29,0.9578883799000001,0.7962175563,6.5120990716,9.4312068097,269.1259485469
30,0.8191510223,0.812571118,5.8276087845,9.5346665647,255.7998870886
31,0.7839833195,0.7725348132000001,5.7191054548,9.1967293292,265.3371213375
32,1.0160989647,0.8717826441000001,6.6546896225,9.9597194467,258.7879108169
33,0.9296100926,0.8159886074,6.2963145981,9.6599985424,257.0169403432
34,0.9607161114,0.8415494147,6.4881217777,9.7297180997,256.6264986278
35,0.9418210450000001,0.9215707555,6.3977804751,10.2781372008,262.8976368103
36,0.7733119286,0.8902992062,5.653795353,10.1480314579,240.4991979325
37,1.0043483984,0.9413562937000001,6.6827134415,10.4441441998,257.9505219114
38,0.8741776938,0.8454982963000001,6.0942589232,9.791551241,265.6581784161
39,0.9871389614,0.8022880936,6.5192618962,9.4784638515,257.0124595093
40,0.8509174841,0.718799418,6.0083734753,8.816283447,261.3895560372
41,0.8633280392,0.8774554272,6.0185144827,9.9416581692,260.0819750084
42,0.8846950742,1.0134746938,6.0919204674,10.8514015394,263.0034864719
43,0.9973355210000001,0.9823772165,6.6489531486,10.6136841,273.2957767403
44,1.034561249,0.8541374301,6.7779814899,9.8698511696,251.2421949413
45,0.8923497319,1.0748528341,6.2290426474,11.3101774327,258.1669069954
46,0.9730692383,1.0407256709,6.5012564441,11.099197009,261.7133120036
47,0.9913969848,0.8017586280000001,6.5462357628,9.3368967747,254.4400753326
48,0.8486988738,0.8331192209,5.9830166246,9.7253460584,256.5762911462
49,0.8559380894,0.7163975570000001,6.0409530713,8.7209395391,255.019768508
50,0.8943977918,0.7544604742000001,6.1918964687999996,9.0234951821,277.1463618126
51,0.9540268778000001,0.8183601513000001,6.3837050994,9.4762241605,268.5767873079
52,0.9677799827,0.9131825989000001,6.4668718752,10.239415604,267.8889577012
53,0.8486136059,1.0578282722,6.0140122854,11.1454439215,262.6371006944
54,0.8593254749,0.8321130052,5.9983514408000005,9.761923134,263.9934711129
55,0.9200385258,0.6429472823,6.2490525775,8.120751179300001,264.642988553
56,0.9378098778,0.8720284991,6.4177081373,9.9867505708,262.9723247188
57,0.9489304825,0.8258644878,6.3948207243,9.7670008094,261.3321267483
58,0.8748835394000001,1.0428721769,6.1849143303,11.0841287342,256.6899010139
59,0.9382663232,0.780643698,6.3421293873,9.3844689693,268.5263564926
60,0.8313590676,0.9736843038,5.9537110579,10.7202033196,267.8806684936
61,0.8369478586,0.7758827242,5.8761382069,9.2528236601,252.7859472296
62,1.0027420929,0.795918075,6.6267168755,9.3689905736,250.3029728533
63,1.0403572958,0.8448124107,6.7180360273,9.8440320799,269.1985043031
64,0.8321167761,1.05203162,5.9858061114000005,11.0403901477,259.0002626414
65,0.8186789349,0.6806326224,5.9129526672,8.4558670451,269.6389743264
66,0.8651501356,0.747670342,6.0047087261,8.9846152461,255.5249353918
67,0.9593480106000001,0.7284876197,6.4827853413,8.85704751,260.8469617554
68,0.9939553025000001,0.8913887613,6.5605511958000005,10.1791991595,259.356388698
69,0.8256286897,0.717647844,5.9489604344,8.717403241,257.501170936
70,0.98329294,0.6685511487,6.6006796927,8.3183234923,268.0340521886
71,0.8404031725000001,0.8317288849000001,5.9994652011,9.620170857,259.6878977995
72,0.9287840201,1.0705067264,6.2958369596,11.2324991945,244.7350379567
73,0.8275341377000001,0.7861409217,5.9408562696,9.4141405055,277.0025295625
74,0.9270765952000001,0.8590901001,6.3301920191,9.8975566148,257.0031567688
75,0.949791632,1.2009359115,6.4295923283,11.9654283777,257.9862312196
76,0.7883633874,1.0023841344,5.7816745452,10.8255724416,260.2750958445
77,1.0052139991,0.9929509611,6.6085232355,10.7144001079,258.0156214509
78,0.9335926056,0.7933559985,6.3262809422,9.402321626500001,257.219278703
79,0.9421387940000001,1.1996363074,6.3283448464,11.924676913,273.6486402828
80,0.9023650732,0.8928428749,6.2541126046,10.1267253104,261.9698686766
81,0.8531675522000001,0.8816063961,5.9367061393,10.0155148346,257.1646527202
82,0.8535037143,1.2093195833000001,5.9956351744,12.0398530899,243.806835278
83,0.9975130505,0.8730319105000001,6.6882859263,10.0041212047,267.2013405746
84,0.8790456501,0.8966580004,6.1319338805,10.1571356188,264.683324778
85,0.9095111796,1.2477968425000001,6.3177092324,12.161953241,259.9900036706
86,0.9758475415000001,1.1403615122,6.5338783833,11.8150676102,255.9114928719
