time,D,S1,S2,Z,C,pH
0.0,0.02333333333333333,32.71769133399993,0.0,1.0000000000000018e-05,0.0,7.4
0.25,0.02336013059255606,32.698965388950484,0.0,1.0000000000000018e-05,0.0,7.4
0.5,0.023387707788806653,32.68016099284179,0.0,1.0000000000000018e-05,0.0,7.4
0.75,0.023416058556828503,32.661285827329,0.0,1.0000000000000018e-05,0.0,7.4
1.0,0.023445176420302312,32.64234758599809,0.0,1.0000000000000018e-05,0.0,7.4
1.25,0.0234750547933481,32.623353972462844,0.0,1.0000000000000018e-05,0.0,7.4
1.5,0.023505686982042577,32.60431269846083,0.0,1.0000000000000018e-05,0.0,7.4
1.75,0.02353706618595152,32.585231481948526,0.0,1.0000000000000018e-05,0.0,7.4
2.0,0.023569185499676796,32.566118045196184,0.0,1.0000000000000018e-05,0.0,7.4
2.25,0.023602037914417697,32.54698011288289,0.0,1.0000000000000018e-05,0.0,7.4
2.5,0.02363561631954635,32.52782541019207,0.0,1.0000000000000018e-05,0.0,7.4
2.75,0.02366991350419678,32.508661660908096,0.0,1.0000000000000018e-05,0.0,7.4
3.0,0.023704922158867395,32.489496585514246,0.0,1.0000000000000018e-05,0.0,7.4
3.25,0.023740634877036454,32.47033789929251,0.0,1.0000000000000018e-05,0.0,7.4
3.5,0.023777044156790342,32.45119331042571,0.0,1.0000000000000018e-05,0.0,7.4
3.75,0.023814142402464093,32.43207051810223,0.0,1.0000000000000018e-05,0.0,7.4
4.0,0.02385192192629414,32.412977210624014,0.0,1.0000000000000018e-05,0.0,7.4
4.25,0.023890374950082668,32.39392106351796,0.0,1.0000000000000018e-05,0.0,7.4
4.5,0.02392949360687337,32.37490973765135,0.0,1.0000000000000018e-05,0.0,7.4
4.75,0.02396926994263834,32.35595087735171,0.0,1.0000000000000018e-05,0.0,7.4
5.0,0.02400969591797558,32.337052108531424,0.0,1.0000000000000018e-05,0.0,7.4
5.25,0.024050763409816926,32.318221036817604,0.0,1.0000000000000018e-05,0.0,7.4
5.5,0.024092464213146043,32.29946524568766,0.0,1.0000000000000018e-05,0.0,7.4
5.75,0.02413479004272612,32.28079229461082,0.0,1.0000000000000018e-05,0.0,7.4
6.0,0.024177732534836866,32.262209717196285,0.0,1.0000000000000018e-05,0.0,7.4
6.25,0.024221283249020616,32.24372501934822,0.0,1.0000000000000018e-05,0.0,7.4
6.5,0.024265433669837022,32.225345677427995,0.0,1.0000000000000018e-05,0.0,7.4
6.75,0.0243101752086262,32.20707913642427,0.0,1.0000000000000018e-05,0.0,7.4
7.0,0.024355499205279706,32.18893280813115,0.0,1.0000000000000018e-05,0.0,7.4
7.25,0.02440139693001936,32.17091406933487,0.0,1.0000000000000018e-05,0.0,7.4
7.5,0.024447859585183196,32.153030260009466,0.0,1.0000000000000018e-05,0.0,7.4
7.75,0.024494878307018464,32.13528868152175,0.0,1.0000000000000018e-05,0.0,7.4
8.0,0.024542444167481258,32.1176965948461,0.0,1.0000000000000018e-05,0.0,7.4
8.25,0.02459054817604235,32.1002612187893,0.0,1.0000000000000018e-05,0.0,7.4
8.5,0.024639181281499008,32.08298972822605,0.0,1.0000000000000018e-05,0.0,7.4
8.75,0.024688334373792344,32.06588925234531,0.0,1.0000000000000018e-05,0.0,7.4
9.0,0.02473799828582993,32.04896687290796,0.0,1.0000000000000018e-05,0.0,7.4
9.25,0.024788163795313286,32.03222962251631,0.0,1.0000000000000018e-05,0.0,7.4
9.5,0.02483882162656988,32.01568448289559,0.0,1.0000000000000018e-05,0.0,7.4
9.75,0.02488996245238939,31.9993383831879,0.0,1.0000000000000018e-05,0.0,7.4
10.0,0.024941576895863717,31.98319819825918,0.0,1.0000000000000018e-05,0.0,7.4
10.25,0.024993655532230576,31.967270747019246,0.0,1.0000000000000018e-05,0.0,7.4
10.5,0.025046188890720203,31.951562790755546,0.0,1.0000000000000018e-05,0.0,7.4
10.75,0.025099167456404916,31.936081031480846,0.0,1.0000000000000018e-05,0.0,7.4
11.0,0.025152581672051023,31.92083211029533,0.0,1.0000000000000018e-05,0.0,7.4
11.25,0.02520642193997303,31.905822605763316,0.0,1.0000000000000018e-05,0.0,7.4
