time,D,S1,S2,Z,C,pH
0.0,0.0233333333333333,32.71769133399993,0.0,1.0000000000000018e-05,0.0,7.4
0.25,0.023360130592556,32.698965388950484,0.0,1.0000000000000018e-05,0.0,7.4
0.5,0.0233877077888066,32.68016099284179,0.0,1.0000000000000018e-05,0.0,7.4
0.75,0.0234160585568285,32.661285827329,0.0,1.0000000000000018e-05,0.0,7.4
1.0,0.0234451764203023,32.64234758599809,0.0,1.0000000000000018e-05,0.0,7.4
1.25,0.0234750547933481,32.623353972462844,0.0,1.0000000000000018e-05,0.0,7.4
1.5,0.0235056869820425,32.60431269846083,0.0,1.0000000000000018e-05,0.0,7.4
1.75,0.0235370661859515,32.585231481948526,0.0,1.0000000000000018e-05,0.0,7.4
2.0,0.0235691854996767,32.566118045196184,0.0,1.0000000000000018e-05,0.0,7.4
2.25,0.0236020379144176,32.54698011288289,0.0,1.0000000000000018e-05,0.0,7.4
2.5,0.0236356163195463,32.52782541019207,0.0,1.0000000000000018e-05,0.0,7.4
2.75,0.0236699135041967,32.508661660908096,0.0,1.0000000000000018e-05,0.0,7.4
3.0,0.0237049221588673,32.489496585514246,0.0,1.0000000000000018e-05,0.0,7.4
3.25,0.0237406348770364,32.47033789929251,0.0,1.0000000000000018e-05,0.0,7.4
3.5,0.0237770441567903,32.45119331042571,0.0,1.0000000000000018e-05,0.0,7.4
3.75,0.023814142402464,32.43207051810223,0.0,1.0000000000000018e-05,0.0,7.4
4.0,0.0238519219262941,32.412977210624014,0.0,1.0000000000000018e-05,0.0,7.4
4.25,0.0238903749500826,32.39392106351796,0.0,1.0000000000000018e-05,0.0,7.4
4.5,0.0239294936068733,32.37490973765135,0.0,1.0000000000000018e-05,0.0,7.4
4.75,0.0239692699426383,32.35595087735171,0.0,1.0000000000000018e-05,0.0,7.4
5.0,0.0240096959179755,32.337052108531424,0.0,1.0000000000000018e-05,0.0,7.4
5.25,0.0240507634098169,32.318221036817604,0.0,1.0000000000000018e-05,0.0,7.4
5.5,0.024092464213146,32.29946524568766,0.0,1.0000000000000018e-05,0.0,7.4
5.75,0.0241347900427261,32.28079229461082,0.0,1.0000000000000018e-05,0.0,7.4
6.0,0.0241777325348368,32.262209717196285,0.0,1.0000000000000018e-05,0.0,7.4
6.25,0.0242212832490206,32.24372501934822,0.0,1.0000000000000018e-05,0.0,7.4
6.5,0.024265433669837,32.225345677427995,0.0,1.0000000000000018e-05,0.0,7.4
6.75,0.0243101752086262,32.20707913642427,0.0,1.0000000000000018e-05,0.0,7.4
7.0,0.0243554992052797,32.18893280813115,0.0,1.0000000000000018e-05,0.0,7.4
7.25,0.0244013969300193,32.17091406933487,0.0,1.0000000000000018e-05,0.0,7.4
7.5,0.0244478595851831,32.153030260009466,0.0,1.0000000000000018e-05,0.0,7.4
7.75,0.0244948783070184,32.13528868152175,0.0,1.0000000000000018e-05,0.0,7.4
8.0,0.0245424441674812,32.1176965948461,0.0,1.0000000000000018e-05,0.0,7.4
8.25,0.0245905481760423,32.1002612187893,0.0,1.0000000000000018e-05,0.0,7.4
8.5,0.024639181281499,32.08298972822605,0.0,1.0000000000000018e-05,0.0,7.4
8.75,0.0246883343737923,32.06588925234531,0.0,1.0000000000000018e-05,0.0,7.4
9.0,0.0247379982858299,32.04896687290796,0.0,1.0000000000000018e-05,0.0,7.4
9.25,0.0247881637953132,32.03222962251631,0.0,1.0000000000000018e-05,0.0,7.4
9.5,0.0248388216265698,32.01568448289559,0.0,1.0000000000000018e-05,0.0,7.4
9.75,0.0248899624523893,31.9993383831879,0.0,1.0000000000000018e-05,0.0,7.4
10.0,0.0249415768958637,31.98319819825918,0.0,1.0000000000000018e-05,0.0,7.4
10.25,0.0249936555322305,31.96727074701925,0.0,1.0000000000000018e-05,0.0,7.4
10.5,0.0250461888907202,31.951562790755546,0.0,1.0000000000000018e-05,0.0,7.4
10.75,0.0250991674564049,31.93608103148085,0.0,1.0000000000000018e-05,0.0,7.4
11.0,0.025152581672051,31.92083211029533,0.0,1.0000000000000018e-05,0.0,7.4
11.25,0.025206421939973,31.90582260576332,0.0,1.0000000000000018e-05,0.0,7.4
11.5,0.0252606786238894,31.891059032305144,0.0,1.0000000000000018e-05,0.0,7.4
11.75,0.0253153420507802,31.87654783860444,0.0,1.0000000000000018e-05,0.0,7.4
12.0,0.0253704025127449,31.862295406031183,0.0,1.0000000000000018e-05,0.0,7.4
12.25,0.0254258502688621,31.84830804708089,0.0,1.0000000000000018e-05,0.0,7.4
12.5,0.0254816755470488,31.83459200383033,0.0,1.0000000000000018e-05,0.0,7.4
12.75,0.0255378685459203,31.821153446409948,0.0,1.0000000000000018e-05,0.0,7.4
13.0,0.025594419436649,31.807998471493608,0.0,1.0000000000000018e-05,0.0,7.4
13.25,0.0256513183648236,31.7951331008057,0.0,1.0000000000000018e-05,0.0,7.4
13.5,0.025708555452307,31.782563279646112,0.0,1.0000000000000018e-05,0.0,7.4
13.75,0.0257661207990921,31.77029487543341,0.0,1.0000000000000018e-05,0.0,7.4
14.0,0.0258240044851575,31.75833367626637,0.0,1.0000000000000018e-05,0.0,7.4
14.25,0.0258821965723197,31.7466853895044,0.0,1.0000000000000018e-05,0.0,7.4
14.5,0.0259406871060842,31.735355640367057,0.0,1.0000000000000018e-05,0.0,7.4
14.75,0.0259994661174932,31.72434997055292,0.0,1.0000000000000018e-05,0.0,7.4
15.0,0.0260585236249707,31.713673836878225,0.0,1.0000000000000018e-05,0.0,7.4
15.25,0.0261178496361644,31.703332609935515,0.0,1.0000000000000018e-05,0.0,7.4
15.5,0.0261774341497835,31.69333157277257,0.0,1.0000000000000018e-05,0.0,7.4
15.75,0.0262372671574332,31.683675919592,0.0,1.0000000000000018e-05,0.0,7.4
16.0,0.0262973386454442,31.674370754471653,0.0,1.0000000000000018e-05,0.0,7.4
16.25,0.0263576385966986,31.665421090106243,0.0,1.0000000000000018e-05,0.0,7.4
16.5,0.0264181569924498,31.656831846570444,0.0,1.0000000000000018e-05,0.0,7.4
16.75,0.0264788838141381,31.64860785010362,0.0,1.0000000000000018e-05,0.0,7.4
17.0,0.0265398090451997,31.640753831916648,0.0,1.0000000000000018e-05,0.0,7.4
17.25,0.0266009226728711,31.63327442702088,0.0,1.0000000000000018e-05,0.0,7.4
17.5,0.0266622146899866,31.626174173079704,0.0,1.0000000000000018e-05,0.0,7.4
17.75,0.0267236750967688,31.6194575092828,0.0,1.0000000000000018e-05,0.0,7.4
18.0,0.0267852939026135,31.613128775243418,0.0,1.0000000000000018e-05,0.0,7.4
18.25,0.0268470611278668,31.6071922099189,0.0,1.0000000000000018e-05,0.0,7.4
18.5,0.0269089668055943,31.60165195055468,0.0,1.0000000000000018e-05,0.0,7.4
18.75,0.0269710009833436,31.59651203165198,0.0,1.0000000000000018e-05,0.0,7.4
19.0,0.0270331537248984,31.59177638395948,0.0,1.0000000000000018e-05,0.0,7.4
19.25,0.0270954151120237,31.587448833489056,0.0,1.0000000000000018e-05,0.0,7.4
19.5,0.0271577752462029,31.58353310055601,0.0,1.0000000000000018e-05,0.0,7.4
19.75,0.0272202242503663,31.58003279884377,0.0,1.0000000000000018e-05,0.0,7.4
20.0,0.0272827522706096,31.576951434493445,0.0,1.0000000000000018e-05,0.0,7.4
20.25,0.0273453494779033,31.57429240521826,0.0,1.0000000000000018e-05,0.0,7.4
20.5,0.0274080060697925,31.572058999443293,0.0,1.0000000000000018e-05,0.0,7.4
20.75,0.0274707122720864,31.57025439547047,0.0,1.0000000000000018e-05,0.0,7.4
21.0,0.0275334583405369,31.56888166066913,0.0,1.0000000000000018e-05,0.0,7.4
21.25,0.027596234562508,31.567943750692283,0.0,1.0000000000000018e-05,0.0,7.4
21.5,0.0276590312586325,31.567443508718775,0.0,1.0000000000000018e-05,0.0,7.4
21.75,0.027721838784459,31.567383664721525,0.0,1.0000000000000018e-05,0.0,7.4
22.0,0.0277846475320864,31.56776683476181,0.0,1.0000000000000018e-05,0.0,7.4
22.25,0.0278474479317873,31.56859552031014,0.0,1.0000000000000018e-05,0.0,7.4
22.5,0.0279102304536191,31.569872107593437,0.0,1.0000000000000018e-05,0.0,7.4
22.75,0.0279729856090228,31.571598866968905,0.0,1.0000000000000018e-05,0.0,7.4
23.0,0.0280357039524094,31.573777952324733,0.0,1.0000000000000018e-05,0.0,7.4
23.25,0.0280983760827335,31.576411400507595,0.0,1.0000000000000018e-05,0.0,7.4
23.5,0.0281609926450537,31.57950113077726,0.0,1.0000000000000018e-05,0.0,7.4
23.75,0.0282235443320801,31.58304894428828,0.0,1.0000000000000018e-05,0.0,7.4
24.0,0.0282860218857074,31.587056523598893,0.0,1.0000000000000018e-05,0.0,7.4
24.25,0.0283484160985356,31.591525432207423,0.0,1.0000000000000018e-05,0.0,7.4
24.5,0.028410717815375,31.59645711411592,0.0,1.0000000000000018e-05,0.0,7.4
24.75,0.0284729179347383,31.601852893421448,0.0,1.0000000000000018e-05,0.0,7.4
25.0,0.0285350074103174,31.607713973935034,0.0,1.0000000000000018e-05,0.0,7.4
25.25,0.0285969772524461,31.61404143882817,0.0,1.0000000000000018e-05,0.0,7.4
25.5,0.0286588185295466,31.620836250307264,0.0,1.0000000000000018e-05,0.0,7.4
25.75,0.0287205223695626,31.62809924931573,0.0,1.0000000000000018e-05,0.0,7.4
26.0,0.0287820799613755,31.63583115526419,0.0,1.0000000000000018e-05,0.0,7.4
26.25,0.0288434825562052,31.6440325657884,0.0,1.0000000000000018e-05,0.0,7.4
26.5,0.028904721468996,31.65270395653537,0.0,1.0000000000000018e-05,0.0,7.4
26.75,0.028965788079785,31.661845680977407,0.0,1.0000000000000018e-05,0.0,7.4
27.0,0.0290266738350556,31.671457970254217,0.0,1.0000000000000018e-05,0.0,7.4
27.25,0.0290873702490732,31.68154093304323,0.0,1.0000000000000018e-05,0.0,7.4
27.5,0.0291478689052053,31.69209455545788,0.0,1.0000000000000018e-05,0.0,7.4
27.75,0.0292081614572243,31.70311870097417,0.0,1.0000000000000018e-05,0.0,7.4
28.0,0.0292682396305925,31.714613110385297,0.0,1.0000000000000018e-05,0.0,7.4
28.25,0.0293280952237316,31.726577401784457,0.0,1.0000000000000018e-05,0.0,7.4
28.5,0.0293877201092727,31.73901107057581,0.0,1.0000000000000018e-05,0.0,7.4
28.75,0.0294471062352898,31.75191348951354,0.0,1.0000000000000018e-05,0.0,7.4
29.0,0.0295062456265157,31.765283908769117,0.0,1.0000000000000018e-05,0.0,7.4
29.25,0.0295651303855388,31.779121456026548,0.0,1.0000000000000018e-05,0.0,7.4
29.5,0.0296237526939827,31.79342513660584,0.0,1.0000000000000018e-05,0.0,7.4
29.75,0.0296821048136672,31.80819383361436,0.0,1.0000000000000018e-05,0.0,7.4
30.0,0.0297401790877504,31.8234263081263,0.0,1.0000000000000018e-05,0.0,7.4
30.25,0.0297979679418526,31.839121199390075,0.0,1.0000000000000018e-05,0.0,7.4
30.5,0.029855463885161,31.855277025063543,0.0,1.0000000000000018e-05,0.0,7.4
30.75,0.0299126595115161,31.87189218147718,0.0,1.0000000000000018e-05,0.0,7.4
31.0,0.0299695475004775,31.888964943924925,0.0,1.0000000000000018e-05,0.0,7.4
